video_name,resolution,video_duration,category,benchmark,duration_seconds,total_frames,file_format,file_size_mb,aspect_ratio,fps
417-2_cam02_assault01_place03_night_spring.mp4,3840x2160,5:15,violence,PIA,315.14816666666667,9445,.mp4,351.66,1.78,29.97002997002997
439-5_cam01_assault01_place03_day_summer.mp4,3840x2160,5:19,violence,PIA,318.6516666666667,9550,.mp4,342.09,1.78,29.97002997002997
24-2_cam01_assault01_place09_night_winter.mp4,3840x2160,4:33,violence,PIA,272.7725,8175,.mp4,299.35,1.78,29.97002997002997
6-1_cam01_assault01_place03_night_summer.mp4,3840x2160,5:19,violence,PIA,318.6516666666667,9550,.mp4,342.81,1.78,29.97002997002997
fight_0026.mp4,640x360,3:20,violence,PIA,199.93306666666666,5992,.mp4,16.19,1.78,29.97002997002997
10-1_cam01_assault03_place07_night_winter.mp4,3840x2160,5:10,violence,PIA,310.07643333333334,9293,.mp4,333.36,1.78,29.97002997002997
22-2_cam01_assault01_place07_night_winter.mp4,3840x2160,5:5,violence,PIA,305.305,9150,.mp4,368.69,1.78,29.97002997002997
407-6_cam01_assault01_place04_day_winter.mp4,3840x2160,5:13,violence,PIA,312.77913333333333,9374,.mp4,747.29,1.78,29.97002997002997
407-6_cam01_assault01_place04_day_spring.mp4,3840x2160,5:9,violence,PIA,309.10880000000003,9264,.mp4,738.48,1.78,29.97002997002997
411-3_cam01_assault01_place08_night_winter.mp4,3840x2160,5:15,violence,PIA,314.7477666666667,9433,.mp4,337.82,1.78,29.97002997002997
412-1_cam01_assault01_place09_night_winter.mp4,3840x2160,5:30,violence,PIA,330.26326666666665,9898,.mp4,380.09,1.78,29.97002997002997
416-5_cam03_assault01_place02_night_spring.mp4,3840x2160,5:9,violence,PIA,308.97533333333337,9260,.mp4,342.81,1.78,29.97002997002997
12-1_cam01_assault01_place09_day_summer.mp4,3840x2160,4:54,violence,PIA,294.02706666666666,8812,.mp4,712.79,1.78,29.97002997002997
13-4_cam02_assault02_place08_day_spring.mp4,3840x2160,4:56,violence,PIA,295.96233333333333,8870,.mp4,711.64,1.78,29.97002997002997
16-3_cam01_assault01_place02_night_summer.mp4,3840x2160,5:0,violence,PIA,300.3333666666667,9001,.mp4,358.8,1.78,29.97002997002997
17-2_cam01_assault03_place03_night_spring.mp4,3840x2160,5:13,violence,PIA,312.8125,9375,.mp4,758.24,1.78,29.97002997002997
